recorded at,gps at,latitude,longitude,altitude,quality
2020-04-25 21:11:24.944000+00:00,2020-04-25T21:11:24.000Z,37.916795666999995,-85.65655500000001,173.7,3
2020-04-25 21:26:25.115000+00:00,2020-04-25T21:26:25.000Z,37.916729833000005,-85.656437,186.0,3
2020-04-25 21:41:25.292000+00:00,2020-04-25T21:41:25.000Z,37.916755833,-85.6565665,161.1,3
2020-04-25 21:56:25.903000+00:00,2020-04-25T21:56:25.000Z,37.916705166999996,-85.65646783300001,178.1,3
2020-04-25 22:11:25.975000+00:00,2020-04-25T22:11:26.000Z,37.916760833000005,-85.656478667,184.0,3
2020-04-25 22:26:26.103000+00:00,2020-04-25T22:26:26.000Z,37.916757000000004,-85.656423,193.1,3
2020-04-25 22:41:26.333000+00:00,2020-04-25T22:41:26.000Z,37.916828167,-85.656499,187.0,3
2020-04-25 22:56:26.954000+00:00,2020-04-25T22:56:26.000Z,37.916672,-85.656525833,169.1,3
2020-04-25 23:11:27.042000+00:00,2020-04-25T23:11:27.000Z,37.916703333,-85.65650649999999,169.8,3
2020-04-25 23:26:27.317000+00:00,2020-04-25T23:26:27.000Z,37.916686333,-85.6564395,189.9,3
2020-04-25 23:41:27.861000+00:00,2020-04-25T23:41:27.000Z,37.916681,-85.656356167,202.2,3
2020-04-25 23:56:27.980000+00:00,2020-04-25T23:56:28.000Z,37.916751167,-85.656366833,183.3,3
2020-04-26 00:11:28.086000+00:00,2020-04-26T00:11:28.000Z,37.916636667,-85.65638299999999,180.8,3
2020-04-26 00:26:28.430000+00:00,2020-04-26T00:26:28.000Z,37.916690667,-85.6563895,184.9,3
2020-04-26 00:41:28.886000+00:00,2020-04-26T00:41:28.000Z,37.916817167,-85.6564945,189.3,3
2020-04-26 00:56:29.004000+00:00,2020-04-26T00:56:29.000Z,37.916706833,-85.656478667,180.8,3
2020-04-26 01:11:29.102000+00:00,2020-04-26T01:11:29.000Z,37.9166735,-85.656500833,169.3,3
2020-04-26 01:26:29.493000+00:00,2020-04-26T01:26:29.000Z,37.916733833,-85.656642,153.2,3
2020-04-26 01:41:29.913000+00:00,2020-04-26T01:41:29.000Z,37.916698833000005,-85.656420167,189.2,3
2020-04-26 01:56:30.072000+00:00,2020-04-26T01:56:30.000Z,37.916751,-85.6564555,183.1,3
2020-04-26 02:11:30.353000+00:00,2020-04-26T02:11:30.000Z,37.916733333,-85.656419333,197.8,3
2020-04-26 02:26:30.916000+00:00,2020-04-26T02:26:31.000Z,37.916725667,-85.656347333,174.9,3
2020-04-26 02:41:30.987000+00:00,2020-04-26T02:41:31.000Z,37.916676833000004,-85.6565635,170.5,3
2020-04-26 02:56:31.252000+00:00,2020-04-26T02:56:31.000Z,37.916771999999995,-85.656489833,158.1,3
2020-04-26 03:11:31.791000+00:00,2020-04-26T03:11:31.000Z,37.9166765,-85.656408167,189.5,3
2020-04-26 03:26:31.965000+00:00,2020-04-26T03:26:32.000Z,37.916691166999996,-85.6563955,185.0,3
2020-04-26 03:41:32.099000+00:00,2020-04-26T03:41:32.000Z,37.916608167,-85.65649499999999,167.7,3
2020-04-26 03:56:32.598000+00:00,2020-04-26T03:56:32.000Z,37.9166495,-85.65651,163.7,3
2020-04-26 04:11:32.903000+00:00,2020-04-26T04:11:33.000Z,37.916697,-85.656418333,168.8,3
2020-04-26 04:26:33.112000+00:00,2020-04-26T04:26:33.000Z,37.916771167,-85.656476,181.5,3
2020-04-26 04:41:33.469000+00:00,2020-04-26T04:41:33.000Z,37.9167595,-85.656511,187.1,3
2020-04-26 04:56:33.856000+00:00,2020-04-26T04:56:33.000Z,37.9166545,-85.65641550000001,175.9,3
2020-04-26 05:11:33.945000+00:00,2020-04-26T05:11:34.000Z,37.9167845,-85.65648266699999,180.9,3
2020-04-26 05:26:34.166000+00:00,2020-04-26T05:26:34.000Z,37.916723833,-85.656379,193.6,3
2020-04-26 05:41:34.593000+00:00,2020-04-26T05:41:34.000Z,37.916704167,-85.656348667,181.9,3
2020-04-26 05:56:34.897000+00:00,2020-04-26T05:56:34.000Z,37.916715167,-85.656475,170.5,3
2020-04-26 06:11:34.958000+00:00,2020-04-26T06:11:35.000Z,37.916827500000004,-85.65638716699999,200.1,3
2020-04-26 06:26:35.234000+00:00,2020-04-26T06:26:35.000Z,37.916736333,-85.656432667,185.3,3
2020-04-26 06:41:35.746000+00:00,2020-04-26T06:41:35.000Z,37.916697333,-85.656452167,182.5,3
2020-04-26 06:56:35.904000+00:00,2020-04-26T06:56:36.000Z,37.916638166999995,-85.656530833,173.5,3
2020-04-26 07:11:35.981000+00:00,2020-04-26T07:11:36.000Z,37.916666667,-85.6565085,157.4,3
2020-04-26 07:26:36.162000+00:00,2020-04-26T07:26:36.000Z,37.916781,-85.656475,149.6,3
2020-04-26 07:41:36.564000+00:00,2020-04-26T07:41:36.000Z,37.916650833,-85.656355167,187.5,3
2020-04-26 07:56:36.953000+00:00,2020-04-26T07:56:36.000Z,37.916782667,-85.656349,185.5,3
2020-04-26 08:11:37.051000+00:00,2020-04-26T08:11:37.000Z,37.916633667,-85.656462167,178.2,3
2020-04-26 08:26:37.457000+00:00,2020-04-26T08:26:37.000Z,37.916748,-85.656498,176.1,3
2020-04-26 08:41:37.850000+00:00,2020-04-26T08:41:37.000Z,37.916723167,-85.656496667,178.3,3
2020-04-26 08:56:37.963000+00:00,2020-04-26T08:56:38.000Z,37.9166875,-85.656515,173.0,3
2020-04-26 09:11:38.091000+00:00,2020-04-26T09:11:38.000Z,37.916763,-85.656498167,179.1,3
2020-04-26 09:26:38.465000+00:00,2020-04-26T09:26:38.000Z,37.916747333,-85.656491833,182.1,3
2020-04-26 09:41:38.867000+00:00,2020-04-26T09:41:39.000Z,37.9167635,-85.656500333,182.9,3
2020-04-26 09:56:38.996000+00:00,2020-04-26T09:56:39.000Z,37.9167355,-85.656499333,181.6,3
2020-04-26 10:11:39.233000+00:00,2020-04-26T10:11:39.000Z,37.916738667,-85.656350167,180.4,3
2020-04-26 10:26:39.825000+00:00,2020-04-26T10:26:39.000Z,37.916698,-85.656497833,175.4,3
2020-04-26 10:41:39.894000+00:00,2020-04-26T10:41:40.000Z,37.916687833000005,-85.656509167,174.3,3
2020-04-26 10:56:40.054000+00:00,2020-04-26T10:56:40.000Z,37.916706167,-85.65651700000001,173.6,3
2020-04-26 11:11:40.445000+00:00,2020-04-26T11:11:40.000Z,37.916695000000004,-85.65652299999999,166.7,3
2020-04-26 11:26:40.821000+00:00,2020-04-26T11:26:41.000Z,37.9166995,-85.656529,172.1,3
2020-04-26 11:41:40.909000+00:00,2020-04-26T11:41:41.000Z,37.916703333,-85.656438167,176.1,3
2020-04-26 11:56:41.232000+00:00,2020-04-26T11:56:41.000Z,37.916686333,-85.6563585,187.3,3
2020-04-26 12:11:41.870000+00:00,2020-04-26T12:11:42.000Z,37.916647167,-85.656500333,173.8,3
2020-04-26 12:26:42.166000+00:00,2020-04-26T12:26:42.000Z,37.916730666999996,-85.656578667,175.4,3
2020-04-26 12:41:42.674000+00:00,2020-04-26T12:41:42.000Z,37.916644333,-85.6564975,171.9,3
2020-04-26 12:56:42.886000+00:00,2020-04-26T12:56:43.000Z,37.9167485,-85.656434167,183.7,3
2020-04-26 13:11:43.139000+00:00,2020-04-26T13:11:43.000Z,37.916740999999995,-85.656444667,179.5,3
2020-04-26 13:26:43.772000+00:00,2020-04-26T13:26:43.000Z,37.9166865,-85.656448833,173.9,3
2020-04-26 13:41:43.859000+00:00,2020-04-26T13:41:44.000Z,37.916746833000005,-85.656530333,174.8,3
2020-04-26 13:56:44.073000+00:00,2020-04-26T13:56:44.000Z,37.9167445,-85.656480167,177.4,3
2020-04-26 14:11:44.547000+00:00,2020-04-26T14:11:44.000Z,37.9167155,-85.6564905,180.0,3
2020-04-26 14:26:44.846000+00:00,2020-04-26T14:26:45.000Z,37.916782667,-85.65641550000001,179.0,3
2020-04-26 14:41:44.926000+00:00,2020-04-26T14:41:45.000Z,37.916774333,-85.6564025,185.7,3
2020-04-26 14:56:45.236000+00:00,2020-04-26T14:56:45.000Z,37.916735833000004,-85.65650683300001,163.8,3
2020-04-26 15:11:45.740000+00:00,2020-04-26T15:11:45.000Z,37.916740999999995,-85.656523333,190.1,3
2020-04-26 15:26:45.915000+00:00,2020-04-26T15:26:46.000Z,37.916689833,-85.656505833,178.8,3
2020-04-26 15:41:46.041000+00:00,2020-04-26T15:41:46.000Z,37.916666333,-85.65644533300001,185.2,3
2020-04-26 15:56:46.472000+00:00,2020-04-26T15:56:46.000Z,37.916691166999996,-85.65644449999999,195.0,3
2020-04-26 16:11:46.776000+00:00,2020-04-26T16:11:47.000Z,37.916646833,-85.656469833,174.9,3
2020-04-26 16:26:46.919000+00:00,2020-04-26T16:26:47.000Z,37.916721333000005,-85.656419,199.0,3
2020-04-26 16:41:47.104000+00:00,2020-04-26T16:41:47.000Z,37.916734000000005,-85.6565005,171.7,3
2020-04-26 16:56:47.605000+00:00,2020-04-26T16:56:47.000Z,37.916721333000005,-85.656466167,173.4,3
2020-04-26 17:11:47.839000+00:00,2020-04-26T17:11:48.000Z,37.916641999999996,-85.656505833,158.9,3
2020-04-26 17:26:48.042000+00:00,2020-04-26T17:26:48.000Z,37.916621166999995,-85.656398333,160.2,3
2020-04-26 17:41:48.493000+00:00,2020-04-26T17:41:48.000Z,37.916753833,-85.656482,184.5,3
2020-04-26 17:56:48.802000+00:00,2020-04-26T17:56:49.000Z,37.9166915,-85.656455833,176.1,3
2020-04-26 18:11:48.914000+00:00,2020-04-26T18:11:49.000Z,37.916771000000004,-85.656403,191.6,3
2020-04-26 18:26:49.261000+00:00,2020-04-26T18:26:49.000Z,37.916692333,-85.6565895,170.9,3
2020-04-26 18:41:49.718000+00:00,2020-04-26T18:41:49.000Z,37.9167215,-85.656578,164.9,3
2020-04-26 18:56:49.884000+00:00,2020-04-26T18:56:50.000Z,37.916674,-85.656511333,158.8,3
2020-04-26 19:11:50.116000+00:00,2020-04-26T19:11:50.000Z,37.916703167,-85.65658366699999,165.4,3
2020-04-26 19:26:50.710000+00:00,2020-04-26T19:26:50.000Z,37.916731833,-85.65641,176.6,3
2020-04-26 19:41:50.784000+00:00,2020-04-26T19:41:51.000Z,37.916654666999996,-85.656452667,179.4,3
2020-04-26 19:56:51.006000+00:00,2020-04-26T19:56:51.000Z,37.916709833,-85.656396,183.3,3
2020-04-26 20:11:51.431000+00:00,2020-04-26T20:11:51.000Z,37.916705,-85.6564075,194.8,3
